zip,msa,beds,max_rent,prior_acq
75071,Dallas,3,2560,
75071,Dallas,4,3260,
75454,Dallas,3,2720,
75454,Dallas,4,3460,
28216,Charlotte,3,1480,
28216,Charlotte,4,2010,
76118,Dallas,3,1700,
76118,Dallas,4,2110,
76002,Dallas,3,2590,
76002,Dallas,4,3150,
30680,Atlanta,3,1440,
30680,Atlanta,4,1710,
28027,Charlotte,3,1570,
28027,Charlotte,4,1990,
30168,Atlanta,3,1580,
30168,Atlanta,4,1900,
30120,Atlanta,4,1630,
28215,Charlotte,3,1520,
28215,Charlotte,4,2020,
75052,Dallas,3,2060,
75052,Dallas,4,2610,
30039,Atlanta,3,2110,
30039,Atlanta,4,2530,
32277,Jacksonville,3,1690,
32277,Jacksonville,4,2120,
28217,Charlotte,3,1480,
28217,Charlotte,4,2010,
30012,Atlanta,4,1670,
30132,Atlanta,3,1650,
30132,Atlanta,4,1980,
76063,Dallas,3,2070,
76063,Dallas,4,2560,
28083,Charlotte,4,1740,
76227,Dallas,3,2410,
76227,Dallas,4,3060,
76120,Dallas,3,1600,
76120,Dallas,4,1980,
76208,Dallas,3,2000,
76208,Dallas,4,2540,
32218,Jacksonville,3,1710,
32218,Jacksonville,4,2140,
75032,Dallas,3,2240,
75032,Dallas,4,2850,
30189,Atlanta,3,2050,
30189,Atlanta,4,2450,
30655,Atlanta,4,1580,
76134,Dallas,3,1580,
76134,Dallas,4,1960,
32226,Jacksonville,3,2550,
32226,Jacksonville,4,3200,
30122,Atlanta,3,1690,
30122,Atlanta,4,2020,
75407,Dallas,3,2180,
75407,Dallas,4,2780,
32256,Jacksonville,3,2040,
32256,Jacksonville,4,2560,
75141,Dallas,3,1830,
75141,Dallas,4,2330,
38135,Memphis,3,2110,
38135,Memphis,4,2470,
75087,Dallas,3,2020,
75087,Dallas,4,2580,
32065,Jacksonville,3,1940,
32065,Jacksonville,4,2420,
76018,Dallas,3,2290,
76018,Dallas,4,2830,
76112,Dallas,3,1600,
76112,Dallas,4,1980,
32043,Jacksonville,3,1680,
32043,Jacksonville,4,2110,
75154,Dallas,3,1800,
75154,Dallas,4,2290,
75043,Dallas,3,1820,
75043,Dallas,4,2300,
76052,Dallas,3,2410,
76052,Dallas,4,3000,
76244,Dallas,3,2310,
76244,Dallas,4,2850,
76036,Dallas,3,1980,
76036,Dallas,4,2450,
76017,Dallas,3,1840,
76017,Dallas,4,2280,
75166,Dallas,3,2240,
75166,Dallas,4,2850,
75125,Dallas,4,1770,
32073,Jacksonville,3,1730,
32073,Jacksonville,4,2160,
28081,Charlotte,4,1580,
75137,Dallas,3,2150,
75137,Dallas,4,2730,
38002,Memphis,3,2080,
38002,Memphis,4,2430,
76209,Dallas,3,1760,
76209,Dallas,4,2240,
76108,Dallas,3,1700,
76108,Dallas,4,2100,
76131,Dallas,3,2120,
76131,Dallas,4,2620,
75104,Dallas,3,2210,
75104,Dallas,4,2820,
32233,Jacksonville,3,1780,
32233,Jacksonville,4,2230,
30135,Atlanta,3,1780,
30135,Atlanta,4,2120,
76065,Dallas,3,2030,
76065,Dallas,4,2580,
28025,Charlotte,4,1780,
76001,Dallas,3,2310,
76001,Dallas,4,2800,
75115,Dallas,3,1830,
75115,Dallas,4,1830,
32221,Jacksonville,3,1970,
32221,Jacksonville,4,2470,
32222,Jacksonville,3,2040,
32222,Jacksonville,4,2560,
76133,Dallas,3,1690,
76133,Dallas,4,2080,
32210,Jacksonville,3,1440,
32210,Jacksonville,4,1810,
75249,Dallas,3,2410,
75249,Dallas,4,3070,
38133,Memphis,3,1840,
38133,Memphis,4,2160,
75181,Dallas,3,2440,
75181,Dallas,4,3100,
75088,Dallas,3,2430,
75088,Dallas,4,3090,
75180,Dallas,3,1550,
75180,Dallas,4,1970,
76266,Dallas,3,1780,
76266,Dallas,4,2270,
30179,Atlanta,4,1610,
76028,Dallas,3,1730,
76028,Dallas,4,2150,
76249,Dallas,3,1950,
76249,Dallas,4,2480,
30014,Atlanta,3,1420,
30014,Atlanta,4,1700,
32068,Jacksonville,3,1760,
32068,Jacksonville,4,2210,
76137,Dallas,3,2040,
76137,Dallas,4,2520,
75172,Dallas,3,1480,
75172,Dallas,4,1890,
30103,Atlanta,4,1560,
32244,Jacksonville,3,1750,
32244,Jacksonville,4,2190,
76179,Dallas,3,2230,
76179,Dallas,4,2760,
75146,Dallas,3,1850,
75146,Dallas,4,2350,
38016,Memphis,3,1900,
38016,Memphis,4,2220,
38125,Memphis,3,1800,
38125,Memphis,4,2110,
76116,Dallas,3,1500,
76116,Dallas,4,1850,
30213,Atlanta,3,2030,
30213,Atlanta,4,2420,
30116,Atlanta,4,1590,
30263,Atlanta,3,1560,
30263,Atlanta,4,1870,
75134,Dallas,3,2000,
75134,Dallas,4,2550,
32225,Jacksonville,3,1980,
32225,Jacksonville,4,2470,
